21/04/2018	21666	CMEDN	164	1
21/04/2018	21671	CMEDN	164	1
21/04/2018	14936	CMGIP	406	1
21/04/2018	20442	CMEDN	203	1
21/04/2018	20898	CMGIP	189	1
21/04/2018	18925	CMGIO	255	1
21/04/2018	19383	CMLEO	242	1
21/04/2018	17099	CMEDN	349	1
21/04/2018	20415	CMHKT	206	1
21/04/2018	21581	CMGIO	167	1
21/04/2018	21501	CMLGC	168	1
21/04/2018	21599	CMHKT	166	1
21/04/2018	18924	CMGIO	255	1
21/04/2018	21294	CMGIO	172	1
21/04/2018	19031	TNDSD	251	1
21/04/2018	19866	CMGIO	231	1
21/04/2018	20825	CMLEO	194	1
21/04/2018	19983	CMGIO	224	1
21/04/2018	21672	CMGIP	164	1
21/04/2018	21670	CMEDN	164	1
21/04/2018	20620	CMGIO	199	1
21/04/2018	21604	CMLEO	166	1
21/04/2018	16183	CMGIP	391	1
21/04/2018	21693	CMEVG	163	1
22/04/2018	20442	CMEDN	203	1
22/04/2018	20898	CMGIP	189	1
22/04/2018	18925	CMGIO	255	1
22/04/2018	20415	CMHKT	206	1
22/04/2018	21581	CMGIO	167	1
22/04/2018	18924	CMGIO	255	1
22/04/2018	21294	CMGIO	172	1
22/04/2018	19866	CMGIO	231	1
22/04/2018	20825	CMLEO	194	1
22/04/2018	19983	CMGIO	224	1
22/04/2018	20620	CMGIO	199	1
22/04/2018	21604	CMLEO	166	1
22/04/2018	21418	CMEDN	171	1
22/04/2018	21200	CMLGC	175	1
22/04/2018	21515	CMHKT	168	1
22/04/2018	14359	CMGIP	412	1
22/04/2018	21710	CMLEO	163	1
22/04/2018	21695	CMGIP	163	1
22/04/2018	21714	CMEDN	162	1
22/04/2018	21558	CMGIP	167	1
23/04/2018	20442	CMEDN	203	1
23/04/2018	20898	CMGIP	189	1
23/04/2018	18925	CMGIO	255	1
23/04/2018	20415	CMHKT	206	1
23/04/2018	21581	CMGIO	167	1
23/04/2018	21599	CMHKT	166	1
23/04/2018	18924	CMGIO	255	1
